"1  2","090a 2013","5","2","5","45","Asfaltimi i rr. Nora Kelmendi dhe Metush Krasniqi lidhjet e rr. Me Magjisrtralen Prishtinë- Shkup, Projekt dy vjeçar - ANEKS","30.03.2015","","","15648.25","NT Rahovica commerce","","","",""
"2","218","5","3","6","45","Riparimi i gypave të ujsjellësit në fsh. Pojatë","01.07.2015","10000","9879.07","0","Floring SHPK","","1","1","1"
"2","126","5","2","1","45","Ndërtimi i kolektorit kryesor të ujrave të zeza prej fsh. Nikadin deri te vendi i shkarkimit te kolektorit te pjeses jug-lindore te qytetit te Ferizajt, projekt dy vjeqar","29.05.2015","","537363.4300000001","","NT Rahovica commerce","","","",""
"1","157","5","2","1","45","Ndërtimi i kanalizimit  fekal dhe atmosferik në rr. Nermin Vlora dhe Rexhep Aliu","06.07.2015","17650","29963.1","","NT Rahovica commerce","","1","1","1"
"2","046 2014","5","2","1","45"," Asfaltimi i rrugës në fshatin Pleshinë - Lagja e ''Bajraktarëve- Aneks kontratë","07.07.2015","","","4730","Eskavatori company Sh.P.K.","","","",""
"2","167","5","2","1","45","Rregullimi i nxemjes qendrore  në shkollën fillore në Kosinë Ferizaj- LOT I","08.07.2015","51000","10340.5","","NTP HIDROTERM- SH","","1","1","1"
"2","167","5","2","1","45","Rregullimi i nxemjes qendrore ne shf. Ne fsh. Nerodime e ulët- LOT III","08.07.2015","51000","8198.200000000001","","NTP HIDROTERM- SH","","1","1","1"
"2","167","5","2","1","45","Rregullimi i nxemjes qendrore në shf. Ne Fsh,. Pojatë- LOT II","08.07.2015","51000","9974.82","","NPIE TERMOINSTAL","","1","1","1"
"1","251","2","3","6","45","Furnizimi me lektura për bibliotekën e qytetit Sadik Tafarshiku Ferizaj","06.07.2015","2703.4","2703.4","","NTP LIBRI","","1","1","1"
"1  2","240","5","3","6","45","Riparimi i kanalizimit fekal i rrugicës që ka qasje në rr. Nazmi Ukzmajli .","09.07.2015","8080","8080","","SHPK LUBOTENI-A","","1","1","1"
"1","139","5","2","1","45","Riparimi i kanalizmeve fekal  në Ferizaj","10.07.2015","80000","59250","","Arlindi SHPK & Pro ^ Co  group SHPK","","1","1","1"
"1 2","218","2","3","6","93","Pastrimi i dritareve të objektit të Komunës dhe objekteve tjera që funksionojn në kuadër të Komunës së Ferizajt","10.07.2015","10000","9879.07","","NTSHP TRINGA CLEAN","","1","1","1"
"2","185","2","2","1","77","Trajtimi i qenve endacak- Kont. Kornizë","14.07.2015","15000","10000","","NSH VETERINA FARM","","1","1","1"
"","178","1","2","1","31","Furnizmi me material për përgaditjen teknike të shkollave- kontrate kornizë","01.07.2015","22000","17973.5","","NTP El Shpëtimi","","1","1","1"
"2  3","86","5","2","1","45","Ndërtimi i qendrës së mjeksisë familjare në trekëndëshin Pleshinë- Zaskok- Dubravë","14.07.2015","140000","110025.84","10110","NPN Agoni","","1","1","1"
"1","88","5","2","1","45","Ndërtimi i  zyrës së Gjendjes Civile në fsh. Gaçkë- Ferizaj","20.07.2015","40000","30599.05","2997.08","G&A CONSTRUCTION DHE PRO CO & GROUP ","","1","",""
"1","88","5","2","1","45","Ndërtimi i  Zyrës së Gjendjes Civile në Fshatin e Vjetër- Ferizaj","20.07.2015","40000","27921.56","1892","G&A CONSTRUCTION DHE PRO CO & GROUP ","","1","1","1"
"2","149","1","2","1","33","LOT III- Furnizmi me produkte medicionale dhe material harxhues medicional per nevoja te QKMF- se, Ferizaj- KONTRATE KORNIZE","20.07.2015","60000","22497","","NT Agani","","1","1","1"
"2","149","1","2","1","33","LOT I- Furnizimie me material harxhues mjekësor dhe terapi për nevoja të QKMF-se- KONTRAT KORNIZE","20.07.2015","60000","64937","","NT Agani","","1","1","1"
"2","149","1","2","1","33","LOT II- Furnizmi me reagensa dhe material harxhues për laboratorët e QKMF - së, Kornize","20.07.2015","60000","67931.77","","NTSH Atom med","","1","1","1"
"2","193","5","2","1","45","LOT I- Rregullimi i fushës sportive në shf. Ismail Qemali në fsh. Prelez i Jerlive","22.07.2015","18000","13500","","NTSH €$ - commerce","","1","1","1"
"2","193","5","2","1","45","LOT II- Rregullimi i fushës sportive në shf. Besim Rexhepi në fsh. Komogllavë","22.07.2015","18000","10800","","NTSH €$ - commerce","","1","1","1"
"2","008","2","2","1","93","Pastrimi dhe mirëmbajtja e objekteve komunale të Komunës- ANEKS","22.07.2015","","","1305","NSH Clean","","","",""
"1","026","1","2","1","61","Furnizmi i fermerëve me lopë të racës së pastër simental- ANEKS","23.07.2015","","","14690","Apetiti SHPK","","","",""
"1","281","1","3","6","28","Furnizmi me paisje për semafor","27.07.2015","10000","9960","","Euro infrastruktura SHPK","","1","1","1"
"2","276","5","3","6","45","Renovimi, adaptimi dhe gëlqerosja e hapësirave të punës në QKMF dhe QMF-II","27.07.2015","","3326","","NTN Eg-En- Ccom","","1","1","1"
"1  2","98","5","2","5","45","Asfaltimi i rr. Agim Ramadani dhe Kongresi i Manstirit- ANEKS","27.07.2015","","","15826.37","Berisha company sha","","","",""
"1","131","5","2","1","45","Asfaltimi i rr. Nuhi Berisha","27.07.2015","20000","16005.28","","Gërlica Company shpk","","1","1","1"
"2","228","5","2","1","45","Asfaltimi i rr. Agim Prodani dhe Imri Halili","28.07.2015","45000","35156.87","","Eurotrans SHPK","","1","1","1"
"1","297","2","3","6","92","Organizmi i kampingut veror Jezerci 2015","28.08.2015","9190","9487.5","","DPZ Budaki","","1","1","1"
"2","247","5","2","1","45","Asfaltimi i rr. Mujë Krasniqi","28.09.2015","17000","16386","","NNP STRASSEN+TIEFBAU","","1","1","1"
"2","138 2014","5","2","1","45","Asfaltimi i rr Rahovicë-Mirashë- projekt dy vjeçar-ANEKS","03.08.2015","","","12288","Eurotrans SHPK & Beni com shpk.","","","",""
"2","135 2014","5","2","1","45","Asfaltimi i rr. Sazli - projekt dy vjeçar- ANEKS","03.08.2015","","","23553.4","Eskavatori company SHPK","","","",""
"2","094","2","2","1","93","Mirëmbajtja dhe pastrimi i rrugëve gjatë sezonit veror dhe dimëror në qytetin e Ferizajt- KONTRATE KORNIZE","11.08.2015","150000","33356.57","","KRM Pastërtia","","1","1","1"
"1","307","2","3","6","72","Kyqja me internet në disa shkolla të Komunës së Ferizajt","13.08.2015","2000","3060","","Com net SHPK","","1","1","1"
"1","093","1","2","1","1","Ritenderim- Furnizimi i fermerëve me koshere të bletëve","18.08.2015.2015","20000","22140","","NPT Mali-I","","1","1","1"
"1","286","5","2","1","45","Asfaltimi i rrugës së Hashanëve në fsh. Greme Ferizaj","26.08.2015","50000","40666.4","","LindaSHPK","","1","1","1"
"1","330","5","3","6","45","Rregullimi i depos në shf. në fsh. Kosinë dhe fsh. Pojatë- Ferizaj","27.08.2015","6000","7939.5","","NTSH Rinasi","","1","1","1"
"2","149","1","2","1","33","Ritenderim- Furnizimi me material për nevoja të stomatologjisë për QKMF- Llot IV -ritenderim,  kontratë kornize","31.08.2015","60000","28920.8","","Konz: Andi dent dhe  Medi dent","","1","1","1"
"2","277","5","2","1","45","LOT I- Rregullimi  rrethojes, oborrit dhe fushës sportive në shf. Jeta e Re, fsh. Greme ","31.08.2015","89000","74571.95","7450","NTP Vërbani","","1","",""
"2","277","5","2","1","45","RITENDERIM- LOT III- Rregullimi i oborrit në Qerdhen e re- Ferizaj","31.08.2015","16666.25","16051.02","","NTP Vërbani","","1","",""
"2","277","5","2","1","45","LOT II-Rregullimi i rrethojës në shf. Tefik Çanga - Ferizaj","31.08.2015","89000","8944.5","","NNP Dionisi","","1","",""
"2","017","5","2","1","45","Asfaltimi i rr. në fsh. Slivovë përreth xhamisë dhe shkollës- Ferizaj, ANEKS","01.09.2015","","","9923.459999999999","Konz: Dekor group & Vizion peojekt & Burimi-E","","","",""
"2","300","5","2","1","93","Rrënimi i objekteve pa leje - Ferizaj (çmim për njësi)","07.09.2015","759.3","244","","NTLiridoni Com","","1","1","1"
"1","343","5","3","6","45","Rregullimi i grilave dhe radiotorëve në shkollen fillore Tefik Çanga ","08.09.2015","9955","9950","","Toni com SHPK","","1","1","1"
"1","346","5","3","6","45","Rregullimi i nyjeve sanitare ne sh.Vezir Jashari","08.09.2015","9800","9944.5","","EgzoniShpk","","1","1","1"
"1","331","5","3","6","45","Rregullimi i AMF në fsh. Varosh dhe rregullimi i kulmit të depos nè sh fi Ali Hadri","04.09.2015","5000","8200","","Toni Comshpk","","1","1","1"
"1","355","5","3","6","45","Meremetimi i shk.fillore në fshatin Papaz","10.09.2015","6000","8482.799999999999","","Real Companyshpk","","1","1","1"
"1","347","5","3","6","45","Rregullimi i rrethojes në Neredime e Ulët","11.09.2015","","9567.5","","NNPDionisi","","1","1","1"
"2","310","5","2","1","45","Krijimi i hapësirave të gjelbërta-Mbjellja e drunjëve dekorativ në rrugën Vëllezërit Gërvalla","11.09.2015","40000","24171","","NPTAgro Coop","","1","1","1"
"1","132","1","3","6","93","Pastrimi i puseve dhe testimi në Talinovc te Muhaxhereve","14.09.2015","10000","9966","","Aqua Driling","","1","1","1"
"1","362","2","3","6","93","Pastrimi i varrezave muslimane të qytetit , te fabrika e gypave ,varrezat ortodokse të qytetit,","14.09.2015","10000","9958.610000000001","","N.Sh. Elektro Hajrizi","","1","1","1"
"2","133","5","2","1","45","Asfaltimi i rrugës në fshatin Zllatar-projekt dy vjeqar","14.09.2015","10000","201975.46","","Papenburg &Adriani","","1","1","1"
"1","353","1","2","1","28","Furnizim me kompjuter për nevoja të Drejtorisë së Urbanizmit","15.09.2015","4680","4600","","NSHData Prognet","","1","1","1"
"1","436","1","3","6","28","Furnizimi me kabllo -shtylla për zonën industriale në fshatin Prelez i Jerlive","13.10.2015","8000","7586.3","","Elktro Hetashpk","","1","1","1"
"2","275","1","2","1","01","Furnizimi i fermerëve me makina mjelëse-ritenderim","06.10.2015","20000","10416","0","NTP Star impiant","","1","1","1"
"1","319","5","2","1","45","Asfaltimi i rrugës Sojevë- Lagjja Syla, projekt dyvjeçar","06.10.2015","70000","164579.83","0","Berisha company sh.a.","","1","1","1"
"2","351","5","2","1","45","Asfaltimi i rrugës në fsh. Talinovc i Jerlive (te Fab.e Tubave)","13.10.2015","40000","111094","0","NNP Strassen & Tiefbau ","","1","1","1"
"1","425","5","3","6","45","Rregullimi i oborrit dhe vendosja e rrethojes në oborrin e Z.Gj.C. Talinovc i Muh.","16.10.2015","9843","9832.5","0","NPSh Topalli","","1","1","1"
"1","414","2","3","6","28","Riparimi, mbushja dhe montimi i klimave të Adm.komunale dhe Inst.tjera që funksiojnojnë në kuadër të Komunës së Ferizajt","19.10.2015","4000","4080","0","NTP El trade","","1","1","1"
"1","413","5","3","6","45","Rregullimi i fushës së basketbollit në rr. Bajram dhe Gursel Sylejmani","19.10.2015","9062","9080.1","0","Morea Sh.P.K.","","1","1","1"
"2","","","","","45","Asfaltimi i unazës në fsh. Prelez i Jer.- Komuna Ferizaj-ANEKS","","","","7085.5","NNP Strassen & Tiefbau ","","","",""
"1","419","5","3","6","45","Shtruarja me kubëza betoni e rr. Adrian Krasniqi në Ferizaj","22.10.2015","10000","9894","0","NTP Metro park","","1","1","1"
"1","436","1","3","6","28","Furnizimi me kabllo për pompat e ujit në rezervuarin e kanalizimit fekal në fsh. Tërrn- Ferizaj","23.10.2015","8000","7586.3","0","SHPK Euro infrastruktura","","1","1","1"
"1","333","5","3","6","45","Rregullimi i fushës së volejbollit në Sh.F. Besim Rexhepi Komogllavë","23.10.2015","3000","3000","0","NTSH €$ commerce","","1","1","1"
"1","439","5","3","6","45","Rregullimi dhe drenazhimi i oborrit të Sh.F. Tefik Çanga në Ferizaj","23.10.2015","9800","9950.6","0","NNP Dionisi","","1","1","1"
"1/2","348","1","2","1","29","Furnizimi dhe instalimi i kamerave të sigurisë në Komunën e Ferizajt","27.10.2015","65000","83083.17999999999","0","Professional alarmL.L.C.","","1","1","1"
"2","","","","","45","Asfaltimi i rrugës së Hashanve Greme-ANEKS","","","","3956.9","Linda Sh.P.K.","","","",""
"2","","","","","45","Asfaltimi i rrugës në Fshatin e Vjetër, Komuna Ferizaj- ANEKS","","","","5086.5","NNP Strassen & Tiefbau ","","","",""
"1","440","2","3","6","","Punimi i udhëzuesit (guida) për turizëm-videoprezantimi i Komunës Ferizaj ","03.11.2015","9000","8990","0","NTSh Grand studio","","1","1","1"
"1","455","5","3","6","45","Rregullimi i fushës sportive të futbollit në Sh.F. Tërrn","04.11.2015","9880","9869.700000000001","0","Eskavatori company Sh.P.K.","","1","1","1"
"1","448","1","3","6","22","Furnizimi me 1500 shporta të mbeturinave (shiringave) për nevoja të  QMF dhe AMF, Komuna Ferizaj","04.11.2015","3800","3750","0","NTP Intergraf","","1","1","1"
"1","444","1","3","6","20","Furnizimi me mobilje për zyren e nënkryetarit, Komuna Ferizaj","06.11.2015","3500","3460","0","Gajrepi ","","1","1","1"
"2","418","5","2","1","45","Instalimi i ngrohjes qendrore në Shtëpinë e Kulturës dhe renovimi i Qendrës Rinore dhe Muzeut","11.11.2015","50000","35981","0","NTSh Endriti","","1","1","1"
"1","472","5","3","6","45","Renovimi i objektit të Sh.F. Astrit  Bytyqi","13.11.2015","6004.4","6001.4","0","NPT Euro beton","","1","1","1"
"2","423","1","2","1","36","Furnizim me inventar shkollor dhe zyre për nevoja të Komunës dhe Inst.tjera që funksionojnë në kuadër të Komunës","16.11.2015","30000","28306","0","Exlusive Frashëri Center","","1","1","1"
"1","456","5","3","6","45","Rregullimi i fushës së volejbollit në Sh.F. Kemajl Hetemi Rahovicë","16.11.2015","9980","8992.700000000001","0","Real company Sh.P.K.","","1","1","1"
"2","494","5","3","6","45","Gjelbrimi dhe rrethoja e Shkollës në fsh. Kosinë","16.11.2015","10000","9776.25","0","Elektro Hajrizi","","1","1","1"
